G_front,G_vert,G_lat,ant_id,RSSI,phase,freq,person,activity
0.096148,1.0197,-0.19613,1,-42.5,2.0555,924.25,51,4
0.096148,1.0197,-0.19613,1,-42.5,2.0555,924.25,51,4
0.096148,1.0197,-0.19613,1,-42.5,2.0555,924.25,51,4
0.096148,1.0197,-0.19613,1,-42.5,2.0555,924.25,51,4
0.096148,1.0197,-0.19613,1,-42.5,2.0555,924.25,51,4
0.096148,1.0197,-0.19613,1,-42.5,2.0555,924.25,51,4
0.23685,0.93932,-0.093505,1,-44.0,1.1029,920.75,51,4
0.23685,0.93932,-0.093505,1,-44.0,1.1029,920.75,51,4
0.23685,0.93932,-0.093505,1,-44.0,1.1029,920.75,51,4
0.23685,0.93932,-0.093505,1,-44.0,1.1029,920.75,51,4
0.23685,0.93932,-0.093505,1,-44.0,1.1029,920.75,51,4
0.24858,0.98526,-0.03649,1,-57.0,2.1108,925.25,51,4
0.24858,0.98526,-0.03649,1,-57.0,2.1108,925.25,51,4
0.24858,0.98526,-0.03649,1,-57.0,2.1108,925.25,51,4
0.24858,0.98526,-0.03649,1,-57.0,2.1108,925.25,51,4
0.24858,0.98526,-0.03649,1,-57.0,2.1108,925.25,51,4
0.24858,0.98526,-0.03649,1,-57.0,2.1108,925.25,51,4
0.38928,0.96229,-0.070699,2,-55.5,0.082835,922.75,51,2
0.38928,0.96229,-0.070699,2,-55.5,0.082835,922.75,51,2
0.38928,0.96229,-0.070699,2,-55.5,0.082835,922.75,51,2
0.38928,0.96229,-0.070699,2,-55.5,0.082835,922.75,51,2
0.38928,0.96229,-0.070699,2,-55.5,0.082835,922.75,51,2
0.38928,0.96229,-0.070699,2,-56.0,1.3668,920.25,51,2
0.38928,0.96229,-0.070699,2,-56.0,1.3668,920.25,51,2
0.38928,0.96229,-0.070699,2,-56.0,1.3668,920.25,51,2
0.38928,0.96229,-0.070699,2,-56.0,1.3668,920.25,51,2
0.38928,0.96229,-0.070699,2,-56.0,1.3668,920.25,51,2
0.38928,0.96229,-0.070699,2,-56.0,1.3668,920.25,51,2
0.40101,0.93932,-0.03649,2,-55.5,1.0063,920.75,51,2
0.40101,0.93932,-0.03649,2,-55.5,1.0063,920.75,51,2
0.40101,0.93932,-0.03649,2,-55.5,1.0063,920.75,51,2
0.40101,0.93932,-0.03649,2,-55.5,1.0063,920.75,51,2
